
158,10,1,10,,5,,5,,,,,,,,,
220,15,1,10,1,10,,5,,5,,,,,,,
280,20,1,15,1,10,,5,,5,,,,,,,
340,20,2,15,1,10,t,10,,5,,5,,,,,

440,30,2,20,1,15,1,10,1,5,,5,,,,,
480,30,2,25,1,15,1,10,1,5,,5,,,,,
530,35,2,25,1,20,1,15,1,10,,5,,,,,
570,35,2,25,1,20,1,15,1,10,,5,,,,,

CO,40,3,30,2,25,1,15,1,10,,5,,5,,,
693,45,3,35,2,25,1,15,1,10,1,5,,5,,,
720,45,3,35,2,25,1,15,1,10,1,5,,5,,,
760,50,3,35,2,25,1,20,1,10,1,5,,5,,,

830,50,3,40,2,30,1,20,1,15,1,5,,5,,,
860,55,3,40,2,30,1,20,1,15,1,5,,5,,,
890,55,3,45,2,30,2,20,1,15,1,10,,5,,,
920,60,3,45,2,30,2,20,1,15,1,10,,5,,,

980,60,4,45,2,35,2,25,1,15,1,10,,5,,,
1010,65,4,50,2,35,2,25,1,15,1,10,,5,,,
ueo,65,4,50,2,35,2,25,1,15,1,10,,5,,,
1070,65,4,50,3,35,2,25,1,15,1,10,,5,,,

1130,70,4,55,3,10,2,25,1,15,1,10,,5,,,
1150,75,4,55,3,10,2,30,1,20,1,10,1,5,,5,
1180,75,4,55,3,40,2,30,1,20,1,10,1,5,,5,
1200,75,4,60,3,40,2,30,1,20,1,10,1,5,,5,

2000,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
2100,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
2200,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
2300,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
