
136,10,1,5,,5,,5,,,,,,,,,
192,10,1,10,,5,,5,,5,,,,,,,
240,15,1,10,1,10,,5,,5,,,,,,,
290,20,1,15,1,10,1,5,,5,,5,,,,,

330,25,2,20,1,15,1,10,,5,,5,,,,,
420,25,2,20,1,15,1,10,,5,,5,,,,,
460,30,2,20,1,15,1,10,1,5,,5,,,,,
490,30,2,25,1,15,1,10,1,5,,5,,,,,

560,35,2,25,1,20,1,15,1,10,,5,,,,,
590,35,2,30,1,20,1,15,1,10,,5,,5,,,
620,40,2,30,1,20,1,15,1,10,,5,,5,,,
650,40,3,30,2,25,1,15,1,10,,5,,5,,,

710,45,3,35,2,25,1,15,1,10,1,5,,5,,,
740,45,3,35,2,25,1,20,1,10,1,5,,5,,,
770,50,3,35,2,25,1,20,1,10,1,5,,5,,,
800,50,3,40,2,30,1,20,1,10,1,5,,5,,,

850,55,3,40,2,30,1,20,1,15,1,5,,5,,,
870,55,3,40,2,30,2,20,1,15,1,10,,5,,,
900,55,3,45,2,30,2,20,1,15,1,10,,5,,,
920,60,3,45,2,30,2,20,1,15,1,10,,5,,,

970,60,4,45,2,35,2,25,1,15,1,10,,5,,,
990,65,4,45,2,35,2,25,1,15,1,10,,5,,,
1010,65,4,50,2,35,2,25,1,15,1,10,,5,,,
1040,65,4,50,2,35,2,25,1,15,1,10,,5,,,

2000,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
2100,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
2200,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
2300,95,5,75,4,55,3,35,2,25,1,15,1,10,,5,
